trackerName,username,password
ABTorrents,username,password
Aither,username,password
AlphaRatio,username,password
AnimeBytes,username,password
Anthelion,username,password
ArabP2P,username,password
AsianCinema,username,password
BackUps,username,password
BakaBT,username,password
Blutopia,username,password
BrokenStones,username,password
BwTorrents,username,password
C411,username,password
CanalStreet,username,password
Cathode-Ray.Tube,username,password
Concertos,username,password
D3Si.NET,username,password
DarkPeers,username,password
DesiTorrents,username,password
DICMusic,username,password
Empornium,username,password
F1Carreras,username,password
Fappaizuri,username,password
FearNoPeer,username,password
FileList,username,password
FunFile,username,password
HappyFappy,username,password
HDUnited,username,password
ImmortalSeed,username,password
IPTorrents,username,password
ItaTorrents,username,password
Kufirc,username,password
Lat-Team,username,password
Libble,username,password
Luminarr,username,password
MalayaBits,username,password
Metal-Tracker,username,password
Milkie,email@address.com,password
MoreThanTV,username,password
MyAnonaMouse,email@address.com,password
Nebulance,username,password
OldToons.World,username,password
OnlyEncodes,username,password
Orpheus,username,password
PixelCove,username,password
PolishTorrent,username,password
PornBay,username,password
PornoLab,username,password
Rastastugan,username,password
Redacted,username,password
ReelFlix,username,password
RUTracker,username,password
SecretCinema,username,password
SeedPool,username,password
SportsCult,username,password
Tasmanites,username,password
TeamOS,email@address.com,password
TorrentLeech,username,password
TVChaosUK,username,password
UHDBits,username,password
Unwalled,username,password
YUSCENE,username,password
#,Manual trackers,UI required for user input
BeyondHD,username,password
CGPeers,username,password
DigitalCore.Club,username,password
DocsPedia,username,password
GazelleGames,username,password
LST,username,password
PassThePopcorn,username,password
TheEmpire,username,password
TheGeeks,username,password
TheOccult,username,password
#,Cloudflare trackers,UI required to pass detection
AnimeTorrents,username,password
AvistaZ,username,password
BroadcasThe.Net,username,password
CinemaZ,username,password
CGPeers,username,password
ExoticaZ,username,password
Hawke-Uno,username,password
HDBits,username,password
PrivateHD,username,password
SceneTime,username,password
Speed.CD,username,password
UploadCX,username,password
